samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.010870783048868179,0.009499296191959094,0.009594153068712589,,,
11000,1165,20650,0.011010601407289504,0.009877058029003157,0.009663561062480234,3.5551918,"tensor(0.0523085967, device='cuda:0')","tensor(0.0008025710, device='cuda:0')"
22000,2312,41120,0.010750164449214936,0.009724779168507279,0.009358596368019794,4.1121426,"tensor(0.0103058722, device='cuda:0')","tensor(0.0112200445, device='cuda:0')"
33000,3494,61940,0.010992919325828552,0.010021398264583078,0.00950487079836887,4.592436,"tensor(0.0115477964, device='cuda:0')","tensor(0.0056958576, device='cuda:0')"
44000,4682,82820,0.010410807412862778,0.009530289055261505,0.008930321275166495,3.462146,"tensor(0.0409160294, device='cuda:0')","tensor(0.0068237381, device='cuda:0')"
45870,4878,86310,0.010654717791080475,0.009801403700032336,0.009090521888875276,3.2769816,"tensor(0.0413979404, device='cuda:0')","tensor(0.0082511781, device='cuda:0')"
56870,6062,107150,0.010001925504207611,0.009061110986632238,0.00830143636035054,3.7950296,"tensor(1., device='cuda:0')","tensor(0.0046420330, device='cuda:0')"
67870,7229,127820,0.009878551864624023,0.009051413295192915,0.007997868714304886,3.9492319,"tensor(0.0072413026, device='cuda:0')","tensor(0.0177943651, device='cuda:0')"
78870,8408,148610,0.009978360176086425,0.009060985519355625,0.007996214945054356,4.737824,"tensor(0.0140850265, device='cuda:0')","tensor(0.0351897664, device='cuda:0')"
89870,9607,169600,0.009419710022211075,0.008505283699122613,0.007328002581340938,4.0357876,"tensor(0.0864320546, device='cuda:0')","tensor(0.0016949391, device='cuda:0')"
91740,9811,173170,0.00976455563902855,0.00884728481622517,0.0077275996981709455,3.8575218,"tensor(0.0174533390, device='cuda:0')","tensor(0.0148749463, device='cuda:0')"
102740,11008,194140,0.010416454529762267,0.009456433364748239,0.00798571627839748,3.777698,"tensor(0.0604372732, device='cuda:0')","tensor(0.0002880665, device='cuda:0')"
113740,12202,215080,0.00988518301844597,0.009035026437806546,0.00758630043959724,3.3552065,"tensor(0.0051930454, device='cuda:0')","tensor(0.0037737032, device='cuda:0')"
124740,13388,235940,0.009814877676963806,0.009057813478025395,0.0075172712756480424,3.8700967,"tensor(0.0266089998, device='cuda:0')","tensor(0.0063254838, device='cuda:0')"
135740,14584,256900,0.009161897671222687,0.008382669757074494,0.006620677734413544,4.0125885,"tensor(0.0678784773, device='cuda:0')","tensor(0.0005503361, device='cuda:0')"
137610,14787,260460,0.00990879760980606,0.009051073883430604,0.007220658756782174,4.762756,"tensor(0.0238361564, device='cuda:0')","tensor(0.0052071325, device='cuda:0')"
148610,15968,281270,0.009421964859962464,0.0086312170491563,0.006651691661470194,4.294996,"tensor(0.1195801944, device='cuda:0')","tensor(0.0049189972, device='cuda:0')"
159610,17164,302230,0.009826657128334046,0.008991454820253021,0.00684263192230584,4.0418487,"tensor(1., device='cuda:0')","tensor(0.0065891971, device='cuda:0')"
170610,18360,323190,0.00958948323726654,0.008890163713946799,0.006659090088360573,4.100379,"tensor(0.0750402957, device='cuda:0')","tensor(0.0119185857, device='cuda:0')"
181610,19550,344090,0.009133691436052322,0.008376483454359845,0.005933165990836518,4.4418483,"tensor(0.0040352251, device='cuda:0')","tensor(0.0070152082, device='cuda:0')"
183480,19754,347660,0.009616173160076142,0.008825107747369285,0.006532158368045699,4.0932245,"tensor(0.0710332841, device='cuda:0')","tensor(0.0135308187, device='cuda:0')"
194480,20949,368610,0.00869814571738243,0.00792642960108983,0.005192493104055772,4.91424,"tensor(0.0133639555, device='cuda:0')","tensor(0.0098855402, device='cuda:0')"
205480,22144,389560,0.009741429311037064,0.008905855620081888,0.006111368209356789,4.149771,"tensor(0.0750941485, device='cuda:0')","tensor(0.0009850729, device='cuda:0')"
216480,23336,410480,0.009899544435739517,0.008986818367038267,0.005962248337438776,4.1368604,"tensor(0.0035016071, device='cuda:0')","tensor(0.0044418070, device='cuda:0')"
227480,24536,431480,0.009792811739444733,0.008968288728393808,0.0058450415055979425,4.391441,"tensor(0.0220237672, device='cuda:0')","tensor(0.0101040564, device='cuda:0')"
229350,24740,435050,0.009535225766897202,0.008642929676542014,0.005440843566377388,3.9047806,"tensor(0.0411717743, device='cuda:0')","tensor(0.0192698613, device='cuda:0')"
240350,25940,456050,0.009587159788608551,0.008779836052866441,0.005161058970404754,4.700227,"tensor(0.0827471465, device='cuda:0')","tensor(0.0408537760, device='cuda:0')"
251350,27138,477030,0.00907806578874588,0.008212591915471622,0.004534543569104118,5.1771626,"tensor(0.0579908751, device='cuda:0')","tensor(0.0042782202, device='cuda:0')"
262350,28337,498020,0.009637465298175812,0.008916192119688561,0.0046352167311022804,4.8121185,"tensor(0.0022997558, device='cuda:0')","tensor(0.0045814207, device='cuda:0')"
273350,29537,519020,0.009395151597261429,0.008485113427253945,0.00434174853713801,5.2728806,"tensor(0.0153173339, device='cuda:0')","tensor(0.0128158629, device='cuda:0')"
275220,29741,522590,0.01041763750910759,0.009620773747924537,0.0057123381048491,5.302152,"tensor(0.0664147437, device='cuda:0')","tensor(0.0012992563, device='cuda:0')"
286220,30941,543590,0.010461102390289306,0.009571660571971442,0.005031078955171913,4.721963,"tensor(0.0740786418, device='cuda:0')","tensor(0.0206045564, device='cuda:0')"
297220,32141,564590,0.00990037277340889,0.00900951083655663,0.004201100668810232,4.1710134,"tensor(0.0063562146, device='cuda:0')","tensor(0.0142439157, device='cuda:0')"
308220,33341,585590,0.009674171555042266,0.008862946784150151,0.0038851629997194684,5.6567707,"tensor(0.0223044828, device='cuda:0')","tensor(0.0741083324, device='cuda:0')"
319220,34541,606590,0.0095131975710392,0.008829019561442135,0.0037482717836526307,5.062012,"tensor(0.0130322371, device='cuda:0')","tensor(0.0062151421, device='cuda:0')"
321090,34743,610140,0.010892769396305084,0.009970499566913309,0.004669649880265889,4.1749983,"tensor(0.0378927775, device='cuda:0')","tensor(0.0149396108, device='cuda:0')"
332090,35942,631130,0.009846430015563965,0.009049113152380153,0.003396021763244307,6.387153,"tensor(0.0504645370, device='cuda:0')","tensor(0.0523730405, device='cuda:0')"
343090,37142,652130,0.009536563873291016,0.008653179830231197,0.0030851306953707355,5.3483353,"tensor(0.0062035425, device='cuda:0')","tensor(0.0345588960, device='cuda:0')"
354090,38342,673130,0.010137540984153747,0.009155653765769722,0.0033794503233604777,5.011488,"tensor(0.0096220067, device='cuda:0')","tensor(0.0028098430, device='cuda:0')"
365090,39542,694130,0.010425022518634796,0.009483717458838034,0.003088861291163517,6.410268,"tensor(0.0575630628, device='cuda:0')","tensor(0.1159259751, device='cuda:0')"
366960,39746,697700,0.010181635981798172,0.009352702623309636,0.003265513807158941,5.3100076,"tensor(0.0100097740, device='cuda:0')","tensor(0.0218675733, device='cuda:0')"
377960,40946,718700,0.010182969802618026,0.009219167413887773,0.002337124014136223,4.7873836,"tensor(0.0062896833, device='cuda:0')","tensor(0.0126554621, device='cuda:0')"
388960,42146,739700,0.010238537949323653,0.00928157690992051,0.0023716673888335826,5.0780897,"tensor(0.1047368720, device='cuda:0')","tensor(0.0065412447, device='cuda:0')"
399960,43346,760700,0.010507147967815399,0.009450035177319634,0.002362688466093289,5.8768773,"tensor(0.0244023576, device='cuda:0')","tensor(0.0069393334, device='cuda:0')"
410960,44546,781700,0.010069900894165039,0.009154269799414886,0.001837118888428601,5.1250434,"tensor(0.0286532100, device='cuda:0')","tensor(0.0054320637, device='cuda:0')"
412830,44750,785270,0.01054843412041664,0.009427432872878868,0.0022090373424259622,6.237697,"tensor(0.0118661616, device='cuda:0')","tensor(0.0060867104, device='cuda:0')"
423830,45950,806270,0.010520696687698365,0.009541524638081444,0.0017098867029676926,4.7762814,"tensor(0.0079509001, device='cuda:0')","tensor(0.0099111870, device='cuda:0')"
434830,47150,827270,0.01101392337679863,0.010109173999806516,0.0018340670429243446,5.223483,"tensor(0.0011089195, device='cuda:0')","tensor(0.0096820705, device='cuda:0')"
445830,48350,848270,0.012585617637634277,0.011590121481554212,0.002649740700921615,5.363012,"tensor(0.0135629550, device='cuda:0')","tensor(0.0346203558, device='cuda:0')"
456830,49550,869270,0.012021988385915757,0.010994603501139769,0.0020052288497400678,4.9804864,"tensor(0.0182850640, device='cuda:0')","tensor(0.0266971737, device='cuda:0')"
458700,49754,872840,0.0115896171271801,0.010835888104270566,0.002283646894323553,6.7377405,"tensor(0.0065108985, device='cuda:0')","tensor(0.0380940437, device='cuda:0')"
469700,50954,893840,0.012593832445144653,0.01157962915449369,0.001756308820608803,4.7863994,"tensor(0.0246494301, device='cuda:0')","tensor(0.0109342523, device='cuda:0')"
480700,52154,914840,0.011285744404792786,0.010181959252692769,0.0015435992722972953,5.085727,"tensor(0.3859480321, device='cuda:0')","tensor(0.0310364310, device='cuda:0')"
491700,53354,935840,0.011182302927970886,0.010129974000397305,0.0013039290598506792,4.766089,"tensor(0.0155494371, device='cuda:0')","tensor(0.0216591023, device='cuda:0')"
502700,54554,956840,0.012655240303277969,0.01159774717135712,0.001686154053660171,5.6763434,"tensor(1., device='cuda:0')","tensor(0.0339080505, device='cuda:0')"
504570,54758,960410,0.01177298309803009,0.010856262779876658,0.0014020813371445587,4.8614826,"tensor(0.0072130719, device='cuda:0')","tensor(0.0217145197, device='cuda:0')"
515570,55958,981410,0.012216531574726104,0.011107369681642814,0.001160878803165608,6.4386344,"tensor(0.0684431866, device='cuda:0')","tensor(0.0967377052, device='cuda:0')"
526570,57158,1002410,0.013138596153259277,0.011990363195356145,0.0014803326478463029,4.407575,"tensor(0.0064296010, device='cuda:0')","tensor(0.0247072093, device='cuda:0')"
537570,58358,1023410,0.012086519920825958,0.011329084084078022,0.0014043270787703849,5.292793,"tensor(0.0110925511, device='cuda:0')","tensor(0.0081165358, device='cuda:0')"
